track_name,album_name
the last great american dynasty,folklore (deluxe version)
exile (feat. Bon Iver),folklore (deluxe version)
my tears ricochet,folklore (deluxe version)
mirrorball,folklore (deluxe version)
seven,folklore (deluxe version)
august,folklore (deluxe version)
this is me trying,folklore (deluxe version)
illicit affairs,folklore (deluxe version)
invisible string,folklore (deluxe version)
mad woman,folklore (deluxe version)
epiphany,folklore (deluxe version)
betty,folklore (deluxe version)
peace,folklore (deluxe version)
hoax,folklore (deluxe version)
the lakes - bonus track,folklore (deluxe version)
the 1,folklore
cardigan,folklore
the last great american dynasty,folklore
exile (feat. Bon Iver),folklore
my tears ricochet,folklore
mirrorball,folklore
seven,folklore
august,folklore
this is me trying,folklore
illicit affairs,folklore
invisible string,folklore
mad woman,folklore
epiphany,folklore
betty,folklore
peace,folklore
hoax,folklore
I Forgot That You Existed,Lover
Cruel Summer,Lover
Lover,Lover
The Man,Lover
The Archer,Lover
I Think He Knows,Lover
Miss Americana & The Heartbreak Prince,Lover
Paper Rings,Lover
Cornelia Street,Lover
Death By A Thousand Cuts,Lover
London Boy,Lover
Soon You'll Get Better (feat. The Chicks),Lover
False God,Lover
You Need To Calm Down,Lover
Afterglow,Lover
ME! (feat. Brendon Urie of Panic! At The Disco),Lover
It's Nice To Have A Friend,Lover
Daylight,Lover
...Ready For It? - Karaoke Version,Taylor Swift Karaoke: reputation
End Game - Karaoke Version,Taylor Swift Karaoke: reputation
I Did Something Bad - Karaoke Version,Taylor Swift Karaoke: reputation
Don't Blame Me - Karaoke Version,Taylor Swift Karaoke: reputation
Delicate - Karaoke Version,Taylor Swift Karaoke: reputation
Look What You Made Me Do - Karaoke Version,Taylor Swift Karaoke: reputation
So It Goes... - Karaoke Version,Taylor Swift Karaoke: reputation
Gorgeous - Karaoke Version,Taylor Swift Karaoke: reputation
Getaway Car - Karaoke Version,Taylor Swift Karaoke: reputation
King Of My Heart - Karaoke Version,Taylor Swift Karaoke: reputation
Dancing With Our Hands Tied - Karaoke Version,Taylor Swift Karaoke: reputation
Dress - Karaoke Version,Taylor Swift Karaoke: reputation
This Is Why We Can't Have Nice Things - Karaoke Version,Taylor Swift Karaoke: reputation
Call It What You Want - Karaoke Version,Taylor Swift Karaoke: reputation
New Year's Day - Karaoke Version,Taylor Swift Karaoke: reputation
...Ready For It?,reputation
End Game,reputation
I Did Something Bad,reputation
Don't Blame Me,reputation
Delicate,reputation
Look What You Made Me Do,reputation
So It Goes...,reputation
Gorgeous,reputation
Getaway Car,reputation
King Of My Heart,reputation
Dancing With Our Hands Tied,reputation
Dress,reputation
This Is Why We Can't Have Nice Things,reputation
Call It What You Want,reputation
New Year's Day,reputation
